date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2015-11-17,10308.23,10109.4,10361.3,10088.03,235707297.0,398803521536.0,2.68,-0.84,-85.38,2.37
2015-11-18,10116.71,9928.66,10203.4,9902.83,178331594.0,295722655744.0,2.97,-1.79,-180.74,1.79
2015-11-19,9954.66,10235.35,10235.83,9944.38,172873938.0,293759512576.0,2.94,3.09,306.69,1.74
2015-11-20,10272.35,10440.35,10477.22,10265.67,220410688.0,377355792384.0,2.07,2.0,205.0,2.22
2015-11-23,10447.81,10341.42,10546.74,10297.14,229338424.0,373132779520.0,2.39,-0.95,-98.93,2.31
2015-11-24,10324.04,10459.6,10460.35,10204.42,168607355.0,279783636992.0,2.47,1.14,118.18,1.69
2015-11-25,10470.93,10696.31,10707.77,10468.34,201271485.0,355974266880.0,2.29,2.26,236.71,2.02
2015-11-26,10745.06,10620.83,10772.62,10595.1,214649938.0,376940830720.0,1.66,-0.71,-75.48,2.16
2015-11-27,10560.39,9933.5,10619.71,9859.02,222809139.0,372029538304.0,7.16,-6.47,-687.33,2.24
2015-11-30,9935.4,10001.19,10058.66,9406.73,197454472.0,321899188224.0,6.56,0.68,67.69,1.98
2015-12-01,9985.79,9955.21,10101.51,9832.26,164580513.0,271316594688.0,2.69,-0.46,-45.98,1.65
2015-12-02,9928.27,9822.06,9954.86,9506.1,148946435.0,236802535424.0,4.51,-1.34,-133.15,1.5
2015-12-03,9833.3,10102.89,10103.49,9832.95,146324449.0,240931471360.0,2.75,2.86,280.83,1.47
2015-12-04,10073.67,10081.57,10199.95,9996.29,161440115.0,268457361408.0,2.02,-0.21,-21.32,1.62
2015-12-07,10105.79,10238.02,10238.79,10038.58,151512379.0,258635124736.0,1.99,1.55,156.45,1.52
2015-12-08,10189.87,10057.74,10210.75,10022.62,163772257.0,280221765632.0,1.84,-1.76,-180.28,1.65
2015-12-09,10002.73,10034.19,10111.56,9945.79,142173279.0,254279454720.0,1.65,-0.23,-23.55,1.43
2015-12-10,10024.19,10035.45,10145.99,10008.74,140759649.0,256497684480.0,1.37,0.01,1.26,1.41
2015-12-11,10003.76,9946.12,10043.54,9915.11,124486374.0,221143658496.0,1.28,-0.89,-89.33,1.25
